,State,County,Latitude,Longitude
0,Alabama,Autauga,32.46402,-86.4597
1,Alabama,Baldwin,30.52297,-87.90333
2,Alabama,Barbour,31.89127,-85.14549
3,Alabama,Bibb,32.99864,-87.12644
4,Alabama,Blount,33.99093,-86.57749
5,Alabama,Bullock,32.10055,-85.7157
6,Alabama,Butler,31.75243,-86.68029
7,Alabama,Calhoun,33.65983,-85.83163
8,Alabama,Chambers,32.81874,-85.17939
9,Alabama,Cherokee,34.17982,-85.76136
10,Alabama,Chilton,32.83874,-86.62943
11,Alabama,Choctaw,32.01961,-88.2632
12,Alabama,Clarke,31.91349,-87.73584
13,Alabama,Clay,33.31067,-85.75441
14,Alabama,Cleburne,33.67456,-85.51877
15,Alabama,Coffee,31.31517,-85.85522
16,Alabama,Colbert,34.74509,-87.61003
17,Alabama,Conecuh,31.42927,-86.99368
18,Alabama,Coosa,33.06567,-86.0533
19,Alabama,Covington,31.00518,-86.328
20,Alabama,Crenshaw,31.73149,-86.31355
21,Alabama,Cullman,34.17482,-86.84361
22,Alabama,Dale,31.31017,-85.71299
23,Alabama,Dallas,32.40736,-87.0211
24,Alabama,DeKalb,34.28759,-85.99414
25,Alabama,Elmore,32.47986,-86.36192
26,Alabama,Escambia,31.02379,-87.49387
27,Alabama,Etowah,34.01434,-86.00639
28,Alabama,Fayette,33.68455,-87.83085
29,Alabama,Franklin,34.50787,-87.72864
30,Alabama,Geneva,31.1024,-85.69688
31,Alabama,Greene,32.85314,-87.95223
32,Alabama,Hale,32.76266,-87.62912
33,Alabama,Henry,31.51469,-85.24141
34,Alabama,Houston,31.22323,-85.39049
35,Alabama,Jackson,34.67231,-86.03415
36,Alabama,Jefferson,33.52066,-86.80249
37,Alabama,Lamar,33.77921,-88.0969
38,Alabama,Lauderdale,34.79981,-87.67725
39,Alabama,Lawrence,34.52165,-87.31104
40,Alabama,Lee,32.60986,-85.48078
41,Alabama,Limestone,34.80243,-86.97219
42,Alabama,Lowndes,32.15475,-86.65011
43,Alabama,Macon,32.42415,-85.69096
44,Alabama,Madison,34.7304,-86.58594
45,Alabama,Marengo,32.51764,-87.8364
46,Alabama,Marion,33.96566,-87.91475
47,Alabama,Marshall,34.20065,-86.16637
48,Alabama,Mobile,30.69436,-88.04305
49,Alabama,Monroe,31.46329,-87.34934
50,Alabama,Montgomery,32.36681,-86.29997
51,Alabama,Morgan,34.60593,-86.98334
52,Alabama,Perry,32.63847,-87.2944
53,Alabama,Pickens,33.10895,-88.19027
54,Alabama,Pike,31.80877,-85.96995
55,Alabama,Randolph,33.15123,-85.37217
56,Alabama,Russell,32.47098,-85.00077
57,Alabama,St. Clair,33.55649,-86.2491
58,Alabama,Shelby,33.28567,-86.80999
59,Alabama,Sumter,32.59101,-88.19879
60,Alabama,Talladega,33.17317,-86.25164
61,Alabama,Tallapoosa,32.94401,-85.95385
62,Alabama,Tuscaloosa,33.20984,-87.56917
63,Alabama,Walker,33.83122,-87.27751
64,Alabama,Washington,31.4076,-88.20788
65,Alabama,Wilcox,31.98924,-87.3082
66,Alabama,Winston,34.22649,-87.62141
67,Alaska,Aleutians East,54.85,-163.41667
68,Alaska,Aleutians West,52.16298,-174.28505
69,Alaska,Anchorage,61.21806,-149.90028
70,Alaska,Bethel,60.75056,-160.50056
71,Alaska,Bristol Bay,58.72833,-157.01389
72,Alaska,Denali,63.06933,-151.00609
73,Alaska,Dillingham,59.03972,-158.4575
74,Alaska,Fairbanks North Star,64.83778,-147.71639
75,Alaska,Haines,59.23595,-135.44533
76,Alaska,Juneau,58.30194,-134.41972
77,Alaska,Kenai Peninsula,60.41667,-151.25056
78,Alaska,Ketchikan Gateway,55.3418,-131.64757
79,Alaska,Kodiak Island,57.79,-152.40722
80,Alaska,Lake and Peninsula,57.00056,-158.00056
81,Alaska,Matanuska-Susitna,61.5809,-149.4415
82,Alaska,Nome,64.50111,-165.40639
83,Alaska,North Slope,69.25056,-152.00056
84,Alaska,Northwest Arctic,66.83333,-161.00056
85,Alaska,Prince of Wales-Outer Ketchikan,55.6435,-132.75879
86,Alaska,Sitka,57.05315,-135.33088
87,Alaska,Skagway-Hoonah-Angoon,58.7586,-136.23715
88,Alaska,Southeast Fairbanks,63.75056,-143.25056
89,Alaska,Valdez-Cordova,61.50056,-144.50056
90,Alaska,Wade Hampton,62.25056,-163.00056
91,Alaska,Wrangell-Petersburg,56.63508,-132.80823
92,Alaska,Yakutat,59.66667,-139.13333
93,Alaska,Yukon-Koyukuk,65.7,-152.71667
94,Arizona,Apache,34.51837,-109.37927
95,Arizona,Cochise,31.55454,-110.30369
96,Arizona,Coconino,35.19807,-111.65127
97,Arizona,Gila,34.23087,-111.32514
98,Arizona,Graham,32.83395,-109.70758
99,Arizona,Greenlee,32.957,-109.211
100,Arizona,La Paz,33.66391,-114.22995
101,Arizona,Maricopa,33.44838,-112.07404
102,Arizona,Mohave,34.4839,-114.32245
103,Arizona,Navajo,34.25421,-110.02983
104,Arizona,Pima,32.22174,-110.92648
105,Arizona,Pinal,32.8795,-111.75735
106,Arizona,Santa Cruz,31.34038,-110.93425
107,Arizona,Yavapai,34.54002,-112.4685
108,Arizona,Yuma,32.72532,-114.6244
109,Arkansas,Arkansas,34.75037,-92.50044
110,Arkansas,Ashley,33.19122,-91.76845
111,Arkansas,Baxter,36.36868,-92.47044
112,Arkansas,Benton,36.33202,-94.11854
113,Arkansas,Boone,36.22979,-93.10768
114,Arkansas,Bradley,33.46642,-92.1624
115,Arkansas,Calhoun,33.55803,-92.50304
116,Arkansas,Carroll,36.40118,-93.73797
117,Arkansas,Chicot,33.26725,-91.29397
118,Arkansas,Clark,34.12093,-93.05378
119,Arkansas,Clay,36.36839,-90.41738
120,Arkansas,Cleburne,35.49147,-92.03126
121,Arkansas,Cleveland,33.89836,-92.18514
122,Arkansas,Columbia,33.26707,-93.23933
123,Arkansas,Conway,35.0887,-92.4421
